"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","1667","103738","C2C-CENTRO-103738-1667-FIJA","4"
"C2CENTRO","10149","130231","C2C-ANGEL-130231-10149-FIJA","4"
"C2CENTRO","10135","122691","C2C-ALAMED-122691-10135-FIJA","4"
"C2CENTRO","6650","122261","C2C-ASTURI-122261-6650-FIJA","4"
"C2CENTRO","6726","122265","C2C-MORELO-122265-6726-FIJA","4"
"C2CENTRO","490","180006","C2C-CENTRO-180006-490-FIJA","4"
"C2CENTRO","2579","2579","C2C-ROMA-2579-2579-PTZ","4"
"C2CENTRO","6701","6701","C2C-TLATEL-6701-6701-PTZ","4"
"C2CENTRO","5403","110121","C2C-ANGEL-110121-5403-FIJA","4"
"C2CENTRO","10142","122703","C2C-CENTRO-122703-10142-FIJA","4"
"C2CENTRO","2423","2423","C2C-CENTRO-2423-2423-PTZ","4"
"C2CENTRO","10167","122715","C2C-ASTURI-122715-10167-FIJA","4"
"C2CENTRO","5221","109845","C2C-ANGEL-109845-5221-FIJA","4"
"C2CENTRO","10538","127914","C2C-MORELO-10538-127914-FIJA","4"
"C2CENTRO","5349","5349","C2C-ANGEL-5349-5349-PTZ","4"
"C2CENTRO","2374","180035","C2C-BUENAV-180035-2374-FIJA","4"
"C2CENTRO","10119","122658","C2C-ASTURI-122658-10119-FIJA","4"
"C2CENTRO","10142","122706","C2C-CENTRO-122706-10142-FIJA","4"
"C2CENTRO","8060","8060","C2C-TLATEL-8060-8060-PTZ","4"
"C2CENTRO","10167","122716","C2C-ASTURI-122716-10167-FIJA","4"
"C2CENTRO","7971","122400","C2C-TLATEL-122400-7971-FIJA","4"
"C2CENTRO","872","872","C2C-ROMA-872-872-PTZ","4"
"C2CENTRO","10119","122655","C2C-ASTURI-122655-10119-FIJA","4"
"C2CENTRO","7738","122330","C2C-TLATEL-122330-7738-FIJA","4"
"C2CENTRO","6707","111947","C2C-BUENAV-111947-6707-FIJA","4"
"C2CENTRO","7738","122329","C2C-TLATEL-122329-7738-FIJA","4"
"C2CENTRO","10136","122696","C2C-ALAMED-122696-10136-FIJA","4"
"C2CENTRO","2234","2234","C2C-BUENAV-2234-2234-PTZ","4"
"C2CENTRO","10123","122667","C2C-CENTRO-122667-10123-FIJA","4"
"C2CENTRO","10118","122652","C2C-ALAMED-122652-10118-FIJA","4"
"C2CENTRO","1667","103740","C2C-CENTRO-103740-1667-FIJA","4"
"C2CENTRO","9107","118131","C2C-ASTURI-118131-9107-FIJA","4"
"C2CENTRO","754","754","C2C-ROMA-754-754-PTZ","4"
"C2CENTRO","2431","104537","C2C-ROMA-104537-2431-FIJA","3"
"C2CENTRO","2379","2379","C2C-BUENAV-2379-2379-PTZ","3"
"C2CENTRO","2622","132813","C2C-ROMA-132813-2622-FIJA","3"
"C2CENTRO","8037","118049","C2C-ROMA-118049-8037-FIJA","3"
"C2CENTRO","2293","122007","C2C-ASTURI-122007-2293-FIJA","3"
"C2CENTRO","2448","180067","C2C-CENTRO-180067-2448-FIJA","3"
